,GWAS P,GWAS Rank,Prop-Value,log10(Prop-Value),Prop Rank,Empirical P,Adjusted Association
AATF,1.0,9927.5,0.00023861081264961751,-3.622309880164146,7738.0,0.391163684157,0.391163684157
AATK,1.0,9927.5,4.2195488097881799e-05,-4.3747339850324494,14511.0,0.733545647558,0.733545647558
ABAT,1.0,9927.5,0.00028247518107193779,-3.5490197042941434,6985.0,0.353098776666,0.353098776666
ABCA1,1.0,9927.5,0.00063431053028016181,-3.1976980787576577,3658.0,0.18491557982,0.18491557982
ABCA10,1.0,9927.5,4.3995143222240777e-05,-4.3565952641547518,14398.0,0.727833383884,0.727833383884
ABCA12,1.0,9927.5,0.00010318208097812024,-3.9863957175152303,11528.0,0.582751996765,0.582751996765
ABCA13,1.0,9927.5,4.2311379503497606e-05,-4.3735428148722013,14498.0,0.732888484481,0.732888484481
ABCA2,1.0,9927.5,0.0015692394070789648,-2.8043107943087189,1150.0,0.0581336568598,0.0581336568598
ABCA3,1.0,9927.5,0.0010049840073052254,-2.9978408492826509,2357.0,0.11914872106,0.11914872106
ABCA4,1.0,9927.5,0.00024806771549209491,-3.6054297528417267,7565.0,0.382418360125,0.382418360125
ABCA5,1.0,9927.5,0.00020541062254529494,-3.6873771011792589,8451.0,0.42720655141,0.42720655141
ABCA6,1.0,9927.5,0.00013813545531598905,-3.8596948364698433,10277.0,0.519512688302,0.519512688302
ABCA7,1.0,9927.5,0.0012310975912429825,-2.9097075184266328,1763.0,0.0891214235163,0.0891214235163
ABCA8,1.0,9927.5,0.00047148490802141965,-3.3265322042371896,4756.0,0.24042058437,0.24042058437
ABCA9,1.0,9927.5,5.7791419728134657e-05,-4.2381366363430812,13595.0,0.687240926094,0.687240926094
ABCB1,1.0,9927.5,0.00059075314345983663,-3.2285939587626622,3909.0,0.197603882317,0.197603882317
ABCB10,1.0,9927.5,0.00034516451853235157,-3.4619738543171801,6045.0,0.305580831059,0.305580831059
ABCB11,1.0,9927.5,6.8660816454436499e-05,-4.1632910366290528,13041.0,0.65923566879,0.65923566879
ABCB4,1.0,9927.5,0.00046345277996023794,-3.3339945084394245,4824.0,0.243858052775,0.243858052775
ABCB5,1.0,9927.5,6.6418723817950753e-05,-4.1777094732746178,13155.0,0.66499848347,0.66499848347
ABCB6,1.0,9927.5,9.6595932355788812e-05,-4.0150411612928867,11796.0,0.596299666363,0.596299666363
ABCB7,1.0,9927.5,0.00023445276896282149,-3.629944633736935,7810.0,0.394803356587,0.394803356587
ABCB8,1.0,9927.5,0.00014508979138849531,-3.8383631437277654,10056.0,0.508340915984,0.508340915984
ABCB9,1.0,9927.5,0.00015564204874270442,-3.8078730611386926,9701.0,0.490395308867,0.490395308867
ABCC1,1.0,9927.5,0.0004405596936443371,-3.3559952385256393,5023.0,0.253917702962,0.253917702962
ABCC10,1.0,9927.5,0.00015111391371989548,-3.8206955464248522,9865.0,0.498685673845,0.498685673845
ABCC11,1.0,9927.5,4.8277777017674031e-05,-4.3162527354923377,14128.0,0.714184612274,0.714184612274
ABCC12,1.0,9927.5,5.7372225685629479e-05,-4.2412983018651973,13608.0,0.687898089172,0.687898089172
ABCC2,1.0,9927.5,0.0003598820776818435,-3.4438397809038763,5839.0,0.29516732383,0.29516732383
ABCC3,1.0,9927.5,0.00028594206431625791,-3.5437219518240157,6939.0,0.350773430391,0.350773430391
ABCC4,1.0,9927.5,0.00019588632907067022,-3.7079958724092701,8671.0,0.438327772723,0.438327772723
ABCC5,1.0,9927.5,0.0010160323918741315,-2.9930924461978194,2322.0,0.117379435851,0.117379435851
ABCC6,1.0,9927.5,0.0010621448949980077,-2.9738162339082965,2203.0,0.111363866141,0.111363866141
ABCC8,1.0,9927.5,0.0008612202070379341,-3.0648857887624903,2777.0,0.140380143565,0.140380143565
ABCC9,1.0,9927.5,0.00024280776548105679,-3.6147374277629991,7656.0,0.387018501668,0.387018501668
ABCD1,1.0,9927.5,0.00021521017080995564,-3.667137207809263,8223.0,0.41568092205,0.41568092205
ABCD2,1.0,9927.5,0.00012976875249567243,-3.8868298703432895,10511.0,0.531341623698,0.531341623698
ABCD3,1.0,9927.5,0.001416063637978069,-2.8489172289896909,1381.0,0.0698109392377,0.0698109392377
ABCD4,1.0,9927.5,7.6077066353617747e-05,-4.1187462427977763,12724.0,0.643210999899,0.643210999899
ABCE1,1.0,9927.5,0.0013322963925326422,-2.8753991480469816,1554.0,0.0785562632696,0.0785562632696
ABCF1,1.0,9927.5,0.0010116478310328218,-2.9949706452602749,2336.0,0.118087149934,0.118087149934
ABCF2,1.0,9927.5,0.00059943782090439044,-3.2222558591683281,3852.0,0.194722474977,0.194722474977
ABCF3,1.0,9927.5,0.00039893181807606457,-3.3991013237709349,5430.0,0.27449196239,0.27449196239
ABCG1,1.0,9927.5,0.00022676990966383307,-3.6444145729445863,7973.0,0.403043170559,0.403043170559
ABCG2,1.0,9927.5,0.00035430817459633854,-3.4506188275112302,5921.0,0.299312506319,0.299312506319
ABCG4,1.0,9927.5,0.00029411014126980026,-3.531490000241043,6803.0,0.34389849358,0.34389849358
ABCG5,1.0,9927.5,0.00015158039504799492,-3.8193569654127941,9852.0,0.498028510767,0.498028510767
ABCG8,1.0,9927.5,0.00018989271198725579,-3.7214917030063033,8814.0,0.445556566576,0.445556566576
ABHD1,1.0,9927.5,8.4476007373505556e-05,-4.0732666205753079,12319.0,0.622737842483,0.622737842483
ABHD10,1.0,9927.5,0.00104033328523472,-2.9828275061334355,2258.0,0.114144171469,0.114144171469
ABHD11,1.0,9927.5,0.00083227898175436789,-3.0797310728347389,2874.0,0.145283591143,0.145283591143
ABHD12,1.0,9927.5,0.00024966484012270635,-3.6026426143000276,7522.0,0.380244666869,0.380244666869
ABHD12B,1.0,9927.5,4.5564428057368596e-05,-4.341374076791511,14285.0,0.72212112021,0.72212112021
ABHD13,1.0,9927.5,0.00011886499333505034,-3.9249460296532028,10926.0,0.552320291174,0.552320291174
