,GWAS P,GWAS Rank,Prop-Value,log10(Prop-Value),Prop Rank,Empirical P,Adjusted Association
LRTOMT,1.0,9915.5,8.1416863587462311e-06,-5.0892856319111059,16335.0,0.825750682439,0.825750682439
LRWD1,1.0,9915.5,4.1640650273513233e-05,-4.380482497029095,10842.0,0.548074006673,0.548074006673
LSAMP,1.0,9915.5,6.5227619850917072e-05,-4.1855684685489845,8800.0,0.444848852492,0.444848852492
LSG1,1.0,9915.5,0.00010360617699826592,-3.9846143511902969,6514.0,0.329289252856,0.329289252856
LSM1,1.0,9915.5,0.0008321782322049645,-3.079783648500904,1098.0,0.0555050045496,0.0555050045496
LSM10,1.0,9915.5,2.4133357147574252e-05,-4.6173822599705137,13043.0,0.659336770802,0.659336770802
LSM11,1.0,9915.5,1.742050924818488e-05,-4.7589391535508598,14169.0,0.716257203518,0.716257203518
LSM12,1.0,9915.5,7.4371395104797902e-05,-4.1285940716706095,8139.0,0.411434637549,0.411434637549
LSM14A,1.0,9915.5,9.8756262012078444e-05,-4.0054353567539822,6758.0,0.341623698312,0.341623698312
LSM14B,1.0,9915.5,1.477618181158633e-05,-4.8304377738155875,14694.0,0.74279648165,0.74279648165
LSM2,1.0,9915.5,0.00018602321850850616,-3.7304328458853155,3553.0,0.179607724194,0.179607724194
LSM3,1.0,9915.5,0.00023043208102956051,-3.6374570580430561,2731.0,0.13805479729,0.13805479729
LSM4,1.0,9915.5,0.00014011139420206306,-3.8535265453861269,4930.0,0.249216459408,0.249216459408
LSM5,1.0,9915.5,0.00017641269477775562,-3.7534701659527587,3789.0,0.191537761601,0.191537761601
LSM6,1.0,9915.5,0.00014656223512999014,-3.8339779204692159,4706.0,0.237893034071,0.237893034071
LSM7,1.0,9915.5,0.00014663625003966333,-3.8337586542099524,4701.0,0.237640279042,0.237640279042
LSM8,1.0,9915.5,0.00013145363446746052,-3.881227401894308,5270.0,0.266403801436,0.266403801436
LSMEM1,1.0,9915.5,1.9710902683495378e-06,-5.7052934862490163,18216.0,0.920837124659,0.920837124659
LSMEM2,1.0,9915.5,3.8253493573573817e-06,-5.4173288959236787,17537.0,0.886512991609,0.886512991609
LSP1,1.0,9915.5,7.8145897342331291e-05,-4.1070938174958123,7904.0,0.399555151148,0.399555151148
LSP1P3,1.0,9915.5,2.2676946964814876e-07,-6.644415415633854,19465.0,0.983975331109,0.983975331109
LSR,1.0,9915.5,7.9585610741739088e-05,-4.0991654465884597,7808.0,0.394702254575,0.394702254575
LSS,1.0,9915.5,7.7388706093183365e-05,-4.1113224145017977,7943.0,0.40152664038,0.40152664038
LST1,1.0,9915.5,0.00018055758646468226,-3.7433842591588942,3688.0,0.186432109999,0.186432109999
LTA,1.0,9915.5,0.00026916087521276929,-3.569988068200221,2292.0,0.115862905672,0.115862905672
LTA4H,1.0,9915.5,0.00015300507457273541,-3.8152941651144929,4489.0,0.226923465777,0.226923465777
LTB,1.0,9915.5,0.00011561256609270689,-3.9369949592708053,5931.0,0.299818016379,0.299818016379
LTB4R,1.0,9915.5,0.0013271448462973598,-2.8770816750898036,466.0,0.0235567687797,0.0235567687797
LTB4R2,1.0,9915.5,0.001297091704962845,-2.8870293180166127,520.0,0.0262865231018,0.0262865231018
LTBP1,1.0,9915.5,0.00094266073614596429,-3.025644581844289,916.0,0.046304721464,0.046304721464
LTBP2,1.0,9915.5,0.00096824430846741908,-3.0140150472037006,885.0,0.044737640279,0.044737640279
LTBP3,1.0,9915.5,8.6697538503749432e-05,-4.0619932327361807,7394.0,0.373774138105,0.373774138105
LTBP4,1.0,9915.5,0.00019632117287648801,-3.7070328600150684,3325.0,0.168082094834,0.168082094834
LTBR,1.0,9915.5,9.7959485929033436e-05,-4.0089535026282741,6811.0,0.344302901628,0.344302901628
LTC4S,1.0,9915.5,4.4254206187438752e-05,-4.354045445029878,10588.0,0.535234051158,0.535234051158
LTF,1.0,9915.5,8.4586215020996593e-05,-4.0727004079788971,7510.0,0.379638054797,0.379638054797
LTK,1.0,9915.5,0.00017581937046740273,-3.7549332792982235,3807.0,0.192447679709,0.192447679709
LTN1,1.0,9915.5,0.0010915104949369766,-2.9619720841680306,729.0,0.0368516833485,0.0368516833485
LTV1,1.0,9915.5,5.1557532709532994e-05,-4.2877078740237113,9919.0,0.501415428167,0.501415428167
LUC7L,1.0,9915.5,6.2829391794187619e-05,-4.2018371443538785,8990.0,0.454453543626,0.454453543626
LUC7L2,1.0,9915.5,0.00013824333804417249,-3.8593557881995131,5011.0,0.253311090891,0.253311090891
LUC7L3,1.0,9915.5,0.00015732347019980879,-3.8032064826029566,4348.0,0.219795773936,0.219795773936
LUM,1.0,9915.5,0.0012179992005357859,-2.9143529967630863,611.0,0.0308866646446,0.0308866646446
LURAP1,1.0,9915.5,4.1212329970400297e-06,-5.3849728316126786,17423.0,0.880750176929,0.880750176929
LURAP1L,1.0,9915.5,1.022600151062174e-05,-4.9902941474539331,15688.0,0.793044181579,0.793044181579
LUZP1,1.0,9915.5,7.2537674608071269e-05,-4.1394363710201327,8259.0,0.417500758265,0.417500758265
LUZP2,1.0,9915.5,1.943893752890066e-05,-4.7113274759295702,13792.0,0.69719947427,0.69719947427
LUZP4,1.0,9915.5,2.5396878431869537e-05,-4.5952196598810398,12860.0,0.65008593671,0.65008593671
LVRN,1.0,9915.5,7.5325644704088617e-06,-5.1230571425589542,16485.0,0.833333333333,0.833333333333
LXN,1.0,9915.5,9.2484191630755024e-05,-4.0339324950907853,7073.0,0.357547265191,0.357547265191
LY6D,1.0,9915.5,0.00013358507221594105,-3.8742420704268099,5182.0,0.261955312911,0.261955312911
LY6E,1.0,9915.5,9.2742495177241063e-05,-4.0327212238690509,7060.0,0.356890102113,0.356890102113
LY6G5B,1.0,9915.5,3.6317569305819975e-06,-5.4398832260208616,17607.0,0.890051562026,0.890051562026
LY6G5C,1.0,9915.5,2.5003313386276843e-05,-4.6020024357268987,12916.0,0.652916793044,0.652916793044
LY6G6C,1.0,9915.5,7.2678199592111716e-05,-4.1385958397142479,8251.0,0.417096350217,0.417096350217
LY6G6D,1.0,9915.5,5.5541126018502349e-06,-5.2553853197844482,16957.0,0.857193408149,0.857193408149
LY6G6E,1.0,9915.5,2.9557370597712846e-07,-6.52933420308152,19378.0,0.97957739359,0.97957739359
LY6G6F,1.0,9915.5,7.2577576477465564e-07,-6.1391975379270889,18915.0,0.956172277828,0.956172277828
LY6H,1.0,9915.5,1.982523009536315e-05,-4.7027817634773639,13728.0,0.693964209888,0.693964209888
LY6K,1.0,9915.5,5.6826618151647565e-07,-6.2454481887868756,19041.5,0.962566980083,0.962566980083
LY75,1.0,9915.5,4.2867191723279845e-05,-4.3678749666650525,10719.0,0.541856232939,0.541856232939
LY75-CD302,1.0,9915.5,1.5870463941983101e-07,-6.7994103773095436,19591.0,0.990344757861,0.990344757861
LY86,1.0,9915.5,0.00016347179356681577,-3.7865571723924529,4158.0,0.210191082803,0.210191082803
LY9,1.0,9915.5,6.171365038305695e-05,-4.2096187641620064,9083.0,0.45915478718,0.45915478718
LY96,1.0,9915.5,0.00025202235800943402,-3.5985609293398677,2460.0,0.124355474674,0.124355474674
LYAR,1.0,9915.5,0.00012287673638363645,-3.9105303320570317,5618.0,0.283995551511,0.283995551511
LYG1,1.0,9915.5,1.8024964381119336e-07,-6.7441255848109529,19555.0,0.988524921646,0.988524921646
LYG2,1.0,9915.5,1.0574556863057587e-05,-4.9757378230981875,15598.0,0.788494591042,0.788494591042
LYL1,1.0,9915.5,6.2152026788907841e-05,-4.2065447043692972,9041.0,0.45703164493,0.45703164493
LYN,1.0,9915.5,0.00051104492931368297,-3.291540916508644,1516.0,0.076635325043,0.076635325043
LYNX1,1.0,9915.5,4.6674930960280886e-06,-5.3309163157696977,17232.0,0.871094934789,0.871094934789
LYPD1,1.0,9915.5,2.8653240581882796e-05,-4.5428262537230237,12382.0,0.625922555859,0.625922555859
