,GWAS P,GWAS Rank,Prop-Value,log10(Prop-Value),Prop Rank,Empirical P,Adjusted Association
HEXDC,1.0,9932.0,1.6805927385662448e-05,-4.7745375172698941,17046.0,0.86169244768,0.86169244768
HEXIM1,1.0,9932.0,0.0001026998018691708,-3.9884303942528563,11954.0,0.604286725306,0.604286725306
HEXIM2,1.0,9932.0,7.9401688441355268e-05,-4.1001702623969951,12860.0,0.65008593671,0.65008593671
HEY1,1.0,9932.0,0.00093544339789710198,-3.0289824857958738,2892.0,0.146193509251,0.146193509251
HEY2,1.0,9932.0,0.00019527733818046998,-3.709348153405557,9317.0,0.470983722576,0.470983722576
HEYL,1.0,9932.0,0.00085038941585402928,-3.0703821537820271,3217.0,0.162622586189,0.162622586189
HFE,1.0,9932.0,0.00060398234287062759,-3.2189757575807598,4560.0,0.2305125872,0.2305125872
HFE2,1.0,9932.0,4.0459233393374722e-05,-4.3929823503388494,14915.0,0.753968253968,0.753968253968
HFM1,1.0,9932.0,4.9870877121733597e-05,-4.3021529934062812,14308.0,0.723283793347,0.723283793347
HGD,1.0,9932.0,0.00013783123260301564,-3.860652360003074,10814.0,0.546658578506,0.546658578506
HGF,1.0,9932.0,0.0021424829728852791,-2.6690826208919756,846.0,0.0427661510464,0.0427661510464
HGFAC,1.0,9932.0,0.00047842369209556853,-3.3201873217211593,5534.0,0.27974926701,0.27974926701
HGH1,1.0,9932.0,0.001459305214364391,-2.8358538657134473,1631.0,0.0824486907289,0.0824486907289
HGS,1.0,9932.0,0.0018044345465448675,-2.743658866771522,1153.0,0.0582853098777,0.0582853098777
HGSNAT,1.0,9932.0,1.0515043575884033e-05,-4.9781889231938496,17720.0,0.8957638257,0.8957638257
HHAT,1.0,9932.0,3.5537461891912436e-05,-4.4493135930107108,15264.0,0.77161055505,0.77161055505
HHATL,1.0,9932.0,3.6820332577661655e-05,-4.43391229307288,15186.0,0.767667576585,0.767667576585
HHEX,1.0,9932.0,0.0071782525443790336,-2.1439812664401043,51.0,0.00257810130422,0.00257810130422
HHIP,1.0,9932.0,3.6552753347331455e-05,-4.4370799041092379,15200.0,0.768375290668,0.768375290668
HHIPL1,1.0,9932.0,4.3718932119894824e-06,-5.3593304546843896,18558.0,0.938125568699,0.938125568699
HHIPL2,1.0,9932.0,0.00013581229578320708,-3.8670609093702311,10873.0,0.549641087858,0.549641087858
HHLA1,1.0,9932.0,6.593463040641737e-06,-5.1808864238870829,18207.0,0.920382165605,0.920382165605
HHLA2,1.0,9932.0,9.1216528839119918e-05,-4.0399264584566135,12386.0,0.626124759883,0.626124759883
HHLA3,1.0,9932.0,8.0852260925808193e-06,-5.0923078311209258,18005.0,0.9101708624,0.9101708624
HIBADH,1.0,9932.0,0.00010770498257821157,-3.967764205186981,11769.0,0.594934789202,0.594934789202
HIBCH,1.0,9932.0,0.00047979150448292714,-3.3189474462157298,5520.0,0.279041552927,0.279041552927
HIC1,1.0,9932.0,0.00071403494229051775,-3.1462805349008005,3891.0,0.19669396421,0.19669396421
HIC2,1.0,9932.0,0.00025779891355970109,-3.5887189172231935,8136.0,0.411282984531,0.411282984531
HID1,1.0,9932.0,4.7202467770677878e-05,-4.3260352956207431,14491.0,0.732534627439,0.732534627439
HIF1A,1.0,9932.0,0.005698134123189388,-2.2442673325139681,110.0,0.00556061065615,0.00556061065615
HIF1AN,1.0,9932.0,0.00023227504461625068,-3.633997447830613,8548.0,0.432109998989,0.432109998989
HIF3A,1.0,9932.0,0.00076327398687960741,-3.1173195385448458,3624.0,0.183196845617,0.183196845617
HIGD1A,1.0,9932.0,0.00021779434452852222,-3.6619534017700714,8836.0,0.446668688707,0.446668688707
HIGD1B,1.0,9932.0,1.3823162486248558e-05,-4.8593925869759502,17363.0,0.877717116571,0.877717116571
HIGD1C,1.0,9932.0,3.6115168380276018e-06,-5.4423103559814754,18734.0,0.947022545749,0.947022545749
HIGD2A,1.0,9932.0,4.0719575122731341e-05,-4.3901967621746358,14899.0,0.753159437873,0.753159437873
HIGD2B,1.0,9932.0,1.3365853657393871e-06,-5.8740032982724966,19256.0,0.973410170862,0.973410170862
HIKESHI,1.0,9932.0,0.00026536556385857527,-3.5761554356408745,8008.0,0.404812455768,0.404812455768
HILPDA,1.0,9932.0,7.578331791625043e-05,-4.1204263845298179,13014.0,0.657870791629,0.657870791629
HINFP,1.0,9932.0,7.1248667471895103e-05,-4.1472232536354463,13208.0,0.667677686786,0.667677686786
HINT1,1.0,9932.0,0.00046913657072024519,-3.3287007110670372,5612.0,0.283692245476,0.283692245476
HINT2,1.0,9932.0,0.00011204316342354352,-3.9506146378171061,11626.0,0.587705995349,0.587705995349
HINT3,1.0,9932.0,2.2501029888544033e-05,-4.6477976034586179,16339.0,0.825952886462,0.825952886462
HIP1,1.0,9932.0,0.00027629283190375376,-3.5586303822026619,7812.0,0.394904458599,0.394904458599
HIP1R,1.0,9932.0,0.00043868638904517979,-3.3578458400748192,5874.0,0.296936609039,0.296936609039
HIPK1,1.0,9932.0,0.0010396771873296682,-2.9831014852435995,2537.0,0.128247902133,0.128247902133
HIPK2,1.0,9932.0,0.00089921387980448962,-3.0461369981762845,3028.0,0.153068446062,0.153068446062
HIPK3,1.0,9932.0,0.0010261960244000847,-2.9887696721835089,2581.0,0.130472146396,0.130472146396
HIPK4,1.0,9932.0,0.00026807272900559456,-3.5717473644758737,7966.0,0.402689313517,0.402689313517
HIRA,1.0,9932.0,0.00026994676394184746,-3.5687218743813758,7926.0,0.400667273279,0.400667273279
HIRIP3,1.0,9932.0,0.00017421720321286687,-3.7589089624653864,9789.0,0.494843797392,0.494843797392
HIST1H1A,1.0,9932.0,0.00048683967040620514,-3.3126140402682913,5461.0,0.276059043575,0.276059043575
HIST1H1B,1.0,9932.0,0.00019167337055466538,-3.717438220061426,9389.0,0.474623395006,0.474623395006
HIST1H1C,1.0,9932.0,0.0009019905612358219,-3.0447980070530098,3020.0,0.152664038014,0.152664038014
