,GWAS P,GWAS Rank,Prop-Value,log10(Prop-Value),Prop Rank,Empirical P,Adjusted Association
C6orf132,1.0,9916.0,3.3701671493265842e-06,-5.4723485590010661,17951.0,0.907441108078,0.907441108078
C6orf136,1.0,9916.0,3.9317187146255507e-06,-5.4054175602843841,17761.0,0.897836416945,0.897836416945
C6orf141,1.0,9916.0,2.6680938561612163e-05,-4.5737988972082748,14114.0,0.71347689819,0.71347689819
C6orf15,1.0,9916.0,9.0651667115765729e-05,-4.0426242046680843,9378.0,0.47406733394,0.47406733394
C6orf165,1.0,9916.0,6.9695952327387828e-06,-5.1567924433212813,17028.0,0.860782529572,0.860782529572
C6orf201,1.0,9916.0,5.9459111125494915e-05,-4.2257815874986919,11239.0,0.568142756041,0.568142756041
C6orf203,1.0,9916.0,4.2985419520557942e-06,-5.3666788303640347,17641.0,0.891770296229,0.891770296229
C6orf211,1.0,9916.0,3.7577335805962814e-06,-5.4250740141712228,17820.0,0.900818926297,0.900818926297
C6orf222,1.0,9916.0,2.592028485571753e-06,-5.5863602300164716,18354.0,0.927813163482,0.927813163482
C6orf226,1.0,9916.0,1.7493920524205628e-06,-5.7571128508286709,18645.0,0.942523506218,0.942523506218
C6orf25,1.0,9916.0,5.4854147179393561e-06,-5.2607905325552773,17334.5,0.876276412901,0.876276412901
C6orf47,1.0,9916.0,7.7552430276522334e-06,-5.1104045880612663,16879.0,0.853250429684,0.853250429684
C6orf48,1.0,9916.0,1.1550176757365453e-05,-4.9374113695241251,16188.0,0.818319684562,0.818319684562
C6orf57,1.0,9916.0,2.1229049697318358e-07,-6.6730694462696105,19669.0,0.994287736326,0.994287736326
C6orf58,1.0,9916.0,2.1574602784525703e-06,-5.6660571914448106,18499.0,0.935143059347,0.935143059347
C6orf62,1.0,9916.0,0.00014347257916654923,-3.8432310944324,6981.0,0.352896572642,0.352896572642
C6orf89,1.0,9916.0,1.8225107105979517e-06,-5.7393299107247095,18612.0,0.940855323021,0.940855323021
C7,1.0,9916.0,0.00022715893608970581,-3.6436701740238489,4728.0,0.239005156203,0.239005156203
C7orf25,1.0,9916.0,1.2283114186814154e-05,-4.9106915108263305,16067.0,0.81220301284,0.81220301284
C7orf26,1.0,9916.0,4.124270814980233e-05,-4.3846528250592343,12692.0,0.641593367708,0.641593367708
C7orf31,1.0,9916.0,1.3029177852179947e-05,-4.8850829876278965,15944.0,0.805985239106,0.805985239106
C7orf34,1.0,9916.0,1.8482749513143414e-07,-6.7332334222087669,19708.0,0.996259225559,0.996259225559
C7orf43,1.0,9916.0,1.8925267767860449e-05,-4.7229579670838184,15097.0,0.763168537054,0.763168537054
C7orf49,1.0,9916.0,2.1914615151837388e-05,-4.6592661516995477,14672.0,0.741684359519,0.741684359519
C7orf50,1.0,9916.0,3.1538092746169775e-05,-4.5011645740020239,13591.0,0.687038722071,0.687038722071
C7orf55,1.0,9916.0,4.0988961702217652e-06,-5.3873330827254264,17705.0,0.895005560611,0.895005560611
C7orf57,1.0,9916.0,2.3002413228079066e-06,-5.6382265989102409,18451.0,0.932716611061,0.932716611061
C7orf60,1.0,9916.0,7.545958640205304e-06,-5.1222855795193114,16912.0,0.85491861288,0.85491861288
C7orf61,1.0,9916.0,1.6055829786668638e-05,-4.7943672446001919,15489.0,0.782984531392,0.782984531392
C7orf69,1.0,9916.0,3.9115454824474789e-05,-4.4076516155237666,12888.0,0.651501364877,0.651501364877
C7orf73,1.0,9916.0,5.6646938352192794e-07,-6.2468235578690772,19322.0,0.976746537256,0.976746537256
C8A,1.0,9916.0,0.00013459641561654092,-3.8709665054811708,7311.0,0.36957840461,0.36957840461
C8B,1.0,9916.0,0.00013163310037369984,-3.8806348895815446,7418.0,0.374987362249,0.374987362249
C8G,1.0,9916.0,8.7236435745718618e-05,-4.0593020868758725,9535.0,0.482003841876,0.482003841876
C8ORF4,1.0,9916.0,9.3480667739659544e-07,-6.0292781940695654,19003.0,0.960620766353,0.960620766353
C8orf22,1.0,9916.0,3.5400905388140156e-06,-5.4509856306283071,17889.0,0.904306945708,0.904306945708
C8orf33,1.0,9916.0,8.195655378909699e-05,-4.0864163116403542,9808.0,0.495804266505,0.495804266505
C8orf34,1.0,9916.0,1.5977089289174292e-06,-5.7965023377123028,18708.0,0.945708219594,0.945708219594
C8orf37,1.0,9916.0,2.6643611900283789e-06,-5.5744069010470341,18331.0,0.926650490345,0.926650490345
C8orf4,1.0,9916.0,0.00041449057182021585,-3.3824853436493485,2669.0,0.134920634921,0.134920634921
C8orf44,1.0,9916.0,6.723952880995271e-06,-5.1723753385989326,17091.0,0.863967242948,0.863967242948
C8orf44-SGK3,1.0,9916.0,1.2215124500896666e-06,-5.9131021021840473,18859.0,0.953341421494,0.953341421494
C8orf46,1.0,9916.0,5.3452465921575698e-06,-5.2720322546941176,17365.0,0.877818218583,0.877818218583
C8orf48,1.0,9916.0,1.55463634623782e-06,-5.8083711830308911,18727.0,0.946668688707,0.946668688707
C8orf58,1.0,9916.0,2.3340980511573366e-07,-6.6318809039966702,19629.0,0.992265696087,0.992265696087
C8orf59,1.0,9916.0,7.7616474081643595e-06,-5.1100460900379847,16875.0,0.85304822566,0.85304822566
C8orf74,1.0,9916.0,4.5362726260614917e-06,-5.3433008526080537,17573.0,0.888332827823,0.888332827823
C8orf76,1.0,9916.0,8.8359798954009009e-06,-5.0537452809543355,16669.0,0.842634718431,0.842634718431
C8orf82,1.0,9916.0,2.7654316088583837e-06,-5.5582370774814498,18313.0,0.925740572237,0.925740572237
C8orf86,1.0,9916.0,8.0536146294205375e-07,-6.0940091554984317,19117.0,0.966383581033,0.966383581033
C8orf88,1.0,9916.0,6.5787591333183814e-07,-6.1818560140414309,19208.0,0.970983722576,0.970983722576
C9,1.0,9916.0,6.563295932754153e-05,-4.1828780133775982,10808.0,0.54635527247,0.54635527247
C9orf106,1.0,9916.0,5.5665625369671539e-06,-5.2544129075319965,17310.0,0.875037913254,0.875037913254
C9orf114,1.0,9916.0,2.9438964854705384e-06,-5.5310774649117498,18120.0,0.915984228086,0.915984228086
C9orf116,1.0,9916.0,1.4476123866420023e-05,-4.8393477094632189,15725.0,0.7949145688,0.7949145688
C9orf131,1.0,9916.0,1.7214060462568084e-06,-5.7641166759542104,18659.0,0.943231220301,0.943231220301
C9orf135,1.0,9916.0,3.7572156172843037e-06,-5.4251338811384251,17821.0,0.900869477303,0.900869477303
C9orf139,1.0,9916.0,1.8535828322248808e-06,-5.7319880016093885,18603.0,0.940400363967,0.940400363967
C9orf142,1.0,9916.0,1.8541179090404301e-05,-4.7318626511961721,15143.0,0.765493883328,0.765493883328
C9orf152,1.0,9916.0,1.2110605902777474e-05,-4.9168341282318311,16092.0,0.813466787989,0.813466787989
C9orf153,1.0,9916.0,3.5129250209215464e-06,-5.454331119592414,17898.0,0.904761904762,0.904761904762
C9orf156,1.0,9916.0,4.3290136350320416e-06,-5.3636110462935997,17625.0,0.890961480133,0.890961480133
C9orf16,1.0,9916.0,0.00010425910808366668,-3.9818859946976892,8653.0,0.437417854615,0.437417854615
C9orf163,1.0,9916.0,4.5051671003192199e-07,-6.3462890960499143,19405.0,0.980942270751,0.980942270751
C9orf171,1.0,9916.0,1.0017080646340481e-06,-5.9992588297579958,18967.0,0.958800930139,0.958800930139
C9orf173,1.0,9916.0,4.8074589835182833e-07,-6.3180844124056899,19390.0,0.980184005662,0.980184005662
C9orf24,1.0,9916.0,2.4826257796389117e-05,-4.6050887391994202,14342.0,0.72500252755,0.72500252755
C9orf3,1.0,9916.0,5.2770068539525622e-05,-4.2776123417463472,11741.0,0.593519361035,0.593519361035
C9orf40,1.0,9916.0,8.5213755458514971e-05,-4.0694902944640603,9652.0,0.487918309574,0.487918309574
C9orf41,1.0,9916.0,1.7752450012851201e-05,-4.7507417015590061,15246.0,0.770700636943,0.770700636943
