,GWAS P,GWAS Rank,Prop-Value,log10(Prop-Value),Prop Rank,Empirical P,Adjusted Association
ABHD10,1.0,9915.5,9.8689861050335406e-05,-4.0057274624881236,6884.0,0.347993125063,0.347993125063
ABHD11,1.0,9915.5,1.3539927375928222e-05,-4.8683836650687633,15025.0,0.759528864624,0.759528864624
ABHD12,1.0,9915.5,2.1364546357715537e-05,-4.6703063243039589,13742.0,0.694671923971,0.694671923971
ABHD12B,1.0,9915.5,1.1801034758818261e-05,-4.9280799104614852,15363.0,0.776615104641,0.776615104641
ABHD13,1.0,9915.5,2.1208935761630951e-05,-4.6734811233008378,13766.0,0.695885148114,0.695885148114
ABHD14A,1.0,9915.5,8.6595560400467805e-05,-4.0625043729134021,7585.0,0.383429380245,0.383429380245
ABHD14A-ACY1,1.0,9915.5,1.150204185606335e-06,-5.9392250563327753,18635.0,0.942017996158,0.942017996158
ABHD14B,1.0,9915.5,3.4693434542219666e-05,-4.4597527042254121,11887.0,0.600899807906,0.600899807906
ABHD15,1.0,9915.5,5.5091565310178755e-06,-5.2589148878932352,16828.0,0.850672328379,0.850672328379
ABHD16A,1.0,9915.5,2.4756768172947159e-05,-4.6063060501310966,13215.0,0.668031543828,0.668031543828
ABHD16B,1.0,9915.5,1.2547557457318849e-05,-4.9014408069358524,15218.0,0.769285208776,0.769285208776
ABHD17A,1.0,9915.5,8.2158916215679655e-05,-4.0853452982892389,7872.0,0.397937518957,0.397937518957
ABHD17B,1.0,9915.5,1.5645745929950271e-05,-4.8056037265070026,14678.0,0.741987665555,0.741987665555
ABHD17C,1.0,9915.5,4.6608387918798819e-06,-5.3315359180946116,17072.0,0.863006773835,0.863006773835
ABHD18,1.0,9915.5,2.4741280943798427e-05,-4.6065778191603322,13218.0,0.668183196846,0.668183196846
ABHD2,1.0,9915.5,2.2417703227665779e-05,-4.6494088844549895,13554.0,0.68516833485,0.68516833485
ABHD3,1.0,9915.5,3.3353783394941586e-05,-4.4768548959497778,12049.0,0.609089070873,0.609089070873
ABHD4,1.0,9915.5,4.0517592852039032e-05,-4.3923563639566208,11215.0,0.566929531898,0.566929531898
ABHD5,1.0,9915.5,3.9779610404546305e-05,-4.400339474604853,11305.0,0.571479122435,0.571479122435
ABHD6,1.0,9915.5,2.1501521734472909e-05,-4.6675308025263673,13719.0,0.693509250834,0.693509250834
ABHD8,1.0,9915.5,1.1952618606474413e-05,-4.9225369380833932,15329.0,0.774896370438,0.774896370438
ABI1,1.0,9915.5,0.00027114058438353484,-3.5668054722584857,2689.0,0.13593165504,0.13593165504
ABI2,1.0,9915.5,0.00017972646382273153,-3.7453879704926361,4018.0,0.203113941967,0.203113941967
ABI3,1.0,9915.5,2.8987805462697772e-05,-4.5377846618963416,12638.0,0.638863613386,0.638863613386
ABI3BP,1.0,9915.5,2.4145342952316682e-05,-4.6171666216473195,13297.0,0.672176726317,0.672176726317
ABL1,1.0,9915.5,0.00054307002433291436,-3.2651441681631499,1670.0,0.0844201799616,0.0844201799616
ABL2,1.0,9915.5,0.00018111558527033925,-3.7420441763801717,3978.0,0.201091901729,0.201091901729
ABLIM1,1.0,9915.5,8.3492100296432366e-05,-4.0783546138573259,7767.0,0.39262966333,0.39262966333
ABLIM2,1.0,9915.5,1.2221545476388295e-05,-4.9128738718817004,15283.0,0.772571024163,0.772571024163
ABLIM3,1.0,9915.5,3.9988466713223804e-05,-4.398065247798268,11280.0,0.570215347285,0.570215347285
ABO,1.0,9915.5,3.0438258220512707e-06,-5.5165802029810571,17585.0,0.888939439895,0.888939439895
ABR,1.0,9915.5,9.097949289309526e-05,-4.0410564881957125,7331.0,0.37058942473,0.37058942473
ABRA,1.0,9915.5,3.5310332348045396e-06,-5.4520981947494791,17419.0,0.880547972905,0.880547972905
