,GWAS P,GWAS Rank,Prop-Value,log10(Prop-Value),Prop Rank,Empirical P,Adjusted Association
AAR2,1.0,9918.5,8.7995722586636224e-05,-4.0555384381017596,10565.0,0.53407137802,0.53407137802
AARD,1.0,9918.5,3.5622368016807425e-06,-5.44827721394494,18284.0,0.924274593064,0.924274593064
AARS,1.0,9918.5,0.00048769975420369458,-3.3118474632889052,3728.0,0.188454150238,0.188454150238
AARS2,1.0,9918.5,8.6389443929950718e-05,-4.0635393214453188,10637.0,0.53771105045,0.53771105045
AARSD1,1.0,9918.5,9.7106579504598728e-05,-4.0127513432564133,10185.0,0.514861995754,0.514861995754
AASDH,1.0,9918.5,9.9514101867188712e-05,-4.0021153722276326,10102.0,0.510666262259,0.510666262259
AASDHPPT,1.0,9918.5,0.0010163107387453358,-2.9929734854680552,1434.0,0.0724901425538,0.0724901425538
AASS,1.0,9918.5,6.5048676748496982e-05,-4.1867615336399986,11733.0,0.593114952988,0.593114952988
AATF,1.0,9918.5,0.00025825868143421237,-3.5879450706385336,6067.0,0.30669295319,0.30669295319
AATK,1.0,9918.5,3.5098417215116095e-05,-4.4547124678715013,13826.0,0.698918208472,0.698918208472
ABAT,1.0,9918.5,0.00050117372888369954,-3.3000117024421995,3631.0,0.183550702659,0.183550702659
ABCA1,1.0,9918.5,0.00035317932490057982,-3.4520047279268682,4927.0,0.24906480639,0.24906480639
ABCA10,1.0,9918.5,2.3417027912234257e-05,-4.6304682263953634,14977.0,0.757102416338,0.757102416338
ABCA12,1.0,9918.5,7.9136669010479904e-05,-4.1016222338376549,11006.0,0.556364371651,0.556364371651
ABCA13,1.0,9918.5,2.6069393417225535e-05,-4.5838690738802539,14698.0,0.742998685674,0.742998685674
ABCA2,1.0,9918.5,0.00029653025807373288,-3.5279309844448106,5544.0,0.28025477707,0.28025477707
ABCA3,1.0,9918.5,7.766717442302904e-05,-4.1097624944438733,11087.0,0.560459003134,0.560459003134
ABCA4,1.0,9918.5,0.00014500522242322477,-3.8386163561874702,8506.0,0.429986856738,0.429986856738
ABCA5,1.0,9918.5,0.00011942926474827037,-3.9228892413691181,9355.0,0.472904660803,0.472904660803
ABCA6,1.0,9918.5,9.3005234709321892e-05,-4.0314926069149521,10344.0,0.522899605702,0.522899605702
ABCA7,1.0,9918.5,0.00011471700609343489,-3.9403721958295819,9543.0,0.482408249924,0.482408249924
ABCA8,1.0,9918.5,0.00013517386153013723,-3.8691072794794419,8803.0,0.44500050551,0.44500050551
ABCA9,1.0,9918.5,2.1328266345638463e-05,-4.6710444444625301,15213.0,0.769032453746,0.769032453746
ABCB1,1.0,9918.5,0.0009452885373515945,-3.0244356083658674,1627.0,0.0822464867051,0.0822464867051
ABCB10,1.0,9918.5,0.00033706979410235316,-3.4722801642468588,5075.0,0.256546355272,0.256546355272
ABCB11,1.0,9918.5,5.8324309745513675e-05,-4.2341503922768311,12135.0,0.613436457386,0.613436457386
ABCB4,1.0,9918.5,0.00011570014407202287,-3.9366661002561538,9510.0,0.480740066727,0.480740066727
ABCB5,1.0,9918.5,3.9158210578457185e-05,-4.4071771624679306,13477.0,0.681275907391,0.681275907391
ABCB6,1.0,9918.5,0.00041370734355234415,-3.3833067700497264,4323.0,0.218531998787,0.218531998787
ABCB7,1.0,9918.5,0.00014334686965436404,-3.8436117865450519,8558.0,0.432615509049,0.432615509049
